LAYER,SYMBOL,COUNT,FEATURES,FONT,STYLE,COLOUR,SIZE,OFFSET,PLACEMENT,TEXTANCHOR,LABELANCHA
ATT-italic-blue-height-13-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (34),18.0,,,,,,,,,
ATT-italic-blue-height-13-tp-35-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (35),2.0,,,,,,,,,
ATT-italic-blue-height-13-tp-38-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0013 and text_place in (38),1.0,,,,,,,,,
ATT-italic-blue-height-14-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place = 1,5488.0,,,,,,,,,
ATT-italic-blue-height-14-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place = 2,6771.0,,,,,,,,,
ATT-italic-blue-height-14-tp-3,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (3),135.0,,,,,,,,,
ATT-italic-blue-height-14-tp-4,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (4),,,,,,,,,,
ATT-italic-blue-height-14-tp-5,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (5),,,,,,,,,,
ATT-italic-blue-height-14-tp-7,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (7),14.0,,,,,,,,,
ATT-italic-blue-height-14-tp-8,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (8),,,,,,,,,,
ATT-italic-blue-height-14-tp-9,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (9),,,,,,,,,,
ATT-italic-blue-height-14-tp-12,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (12),7.0,,,,,,,,,
ATT-italic-blue-height-14-tp-31-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (31),100.0,,,,,,,,,
ATT-italic-blue-height-14-tp-32-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (32),23.0,,,,,,,,,
ATT-italic-blue-height-14-tp-33-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (33),1.0,,,,,,,,,
ATT-italic-blue-height-14-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (34),759.0,,,,,,,,,
ATT-italic-blue-height-14-tp-35-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (35),,,,,,,,,,
ATT-italic-blue-height-14-tp-36-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (36),,,,,,,,,,
ATT-italic-blue-height-14-tp-37-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0014 and text_place in (37),,,,,,,,,,
ATT-italic-blue-height-16-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0016 and text_place = 1,,,,,,,,,,
ATT-italic-blue-height-17-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 1,3343.0,,,,,,,,,
ATT-italic-blue-height-17-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 2,3112.0,,,,,,,,,
ATT-italic-blue-height-17-tp-3,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 3,,,,,,,,,,
ATT-italic-blue-height-17-tp-4,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 4,,,,,,,,,,
ATT-italic-blue-height-17-tp-5,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 5,,,,,,,,,,
ATT-italic-blue-height-17-tp-6,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 6,,,,,,,,,,
ATT-italic-blue-height-17-tp-7,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place = 7,,,,,,,,,,
ATT-italic-blue-height-17-tp-31-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (31),,,,,,,,,,
ATT-italic-blue-height-17-tp-32-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (32),300.0,,,,,,,,,
ATT-italic-blue-height-17-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (34),,,,,,,,,,
ATT-italic-blue-height-17-tp-35-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (35),,,,,,,,,,
ATT-italic-blue-height-17-tp-36-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (36),,,,,,,,,,
ATT-italic-blue-height-17-tp-37-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (37),,,,,,,,,,
ATT-italic-blue-height-17-tp-42,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0017 and text_place in (42),,,,,,,,,,
ATT-italic-blue-height-18-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0018 and text_place = 2,,,,,,,,,,
ATT-italic-blue-height-19-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place = 1,1258.0,,,,,,,,,
ATT-italic-blue-height-19-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place = 2,2050.0,,,,,,,,,
ATT-italic-blue-height-19-tp-3-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place in (3),,,,,,,,,,
ATT-italic-blue-height-19-tp-5-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place in (5),,,,,,,,,,
ATT-italic-blue-height-19-tp-12-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place in (12),,,,,,,,,,
ATT-italic-blue-height-19-tp-33-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place in (33),,,,,,,,,,
ATT-italic-blue-height-19-tp-34-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place in (34),127.0,,,,,,,,,
ATT-italic-blue-height-19-tp-35-todo,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0019 and text_place in (35),,,,,,,,,,
ATT-italic-blue-height-22-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0022 and text_place = 1,,,,,,,,,,
ATT-italic-blue-height-22-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0022 and text_place = 2,88.0,,,,,,,,,
ATT-italic-blue-height-22-tp-35,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0022 and text_place = 35,,,,,,,,,,
ATT-italic-blue-height-24-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0024 and text_place = 1,486.0,,,,,,,,,
ATT-italic-blue-height-24-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0024 and text_place = 2,1234.0,,,,,,,,,
ATT-italic-blue-height-24-tp-3,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0024 and text_place = 3,,,,,,,,,,
ATT-italic-blue-height-24-tp-31,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0024 and text_place = 31,,,,,,,,,,
ATT-italic-blue-height-24-tp-34,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0024 and text_place = 34,,,,,,,,,,
ATT-italic-blue-height-26-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0026 and text_place = 1,,,,,,,,,,
ATT-italic-blue-height-29-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0029 and text_place = 1,,,,,,,,,,
ATT-italic-blue-height-29-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0029 and text_place = 2,182.0,,,,,,,,,
ATT-italic-blue-height-29-tp-31,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0029 and text_place = 31,,,,,,,,,,
ATT-italic-blue-height-29-tp-34,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0029 and text_place = 34,,,,,,,,,,
ATT-italic-blue-height-34-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0034 and text_place = 1,57.0,,,,,,,,,
ATT-italic-blue-height-34-tp-2,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0034 and text_place = 2,14.0,,,,,,,,,
ATT-italic-blue-height-34-tp-31,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0034 and text_place = 31,,,,,,,,,,
ATT-italic-blue-height-34-tp-34,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 0.0034 and text_place = 34,,,,,,,,,,
ATT-italic-blue-height-685-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 68.5 and text_place = 1,,,,,,,,,,
ATT-italic-blue-height-75-tp-1,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 75 and text_place = 1,940.0,,,,,,,,,
ATT-italic-blue-height-75-tp-3,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 75 and text_place = 3,,,,,,,,,,
ATT-italic-blue-height-75-tp-5,text_font = ATTriumMou-Italic and text_colour = 6 and text_height = 75 and text_place = 5,,,,,,,,,,
ATT-italic-red-height-14-tp-1-todo,text_font = ATTriumMou-Italic and text_colour = 5 and text_height = 0.0014 and text_place = 1,1.0,,,,,,,,,
ATT-italic-red-height-14-tp-2-todo,text_font = ATTriumMou-Italic and text_colour = 5 and text_height = 0.0014 and text_place in (2),4.0,,,,,,,,,
ATT-regular-black-height-17-tp-1,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 1,,,,,,,,,,
ATT-regular-black-height-17-tp-2,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 2,1032.0,,,,,,,,,
ATT-regular-black-height-17-tp-3,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 3,,,,,,,,,,
ATT-regular-black-height-17-tp-5,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 5,,,,,,,,,,
ATT-regular-black-height-17-tp-32,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 32,,,,,,,,,,
ATT-regular-black-height-17-tp-34,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 34,,,,,,,,,,
ATT-regular-black-height-17-tp-35,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 35,,,,,,,,,,
ATT-regular-black-height-17-tp-38,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0017 and text_place = 38,,,,,,,,,,
ATT-regular-black-height-18-tp-35-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0018 and text_place in (35),,,,,,,,,,
ATT-regular-black-height-19-tp-1,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (1),530.0,road,ATTriumMou,Regular,Black,5.5,-1,AL,,
ATT-regular-black-height-19-tp-2,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place = 2,23077.0,road,ATTriumMou,Regular,Black,5.5,,OL,,
ATT-regular-black-height-19-tp-3,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (3),199.0,road,ATTriumMou,Regular,Black,5.5,-0.5,BL,,
ATT-regular-black-height-19-tp-5,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (5),,,,,,,,,,
ATT-regular-black-height-19-tp-31,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (31),,,,,,,,,,
ATT-regular-black-height-19-tp-32,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (32),2676.0,road,ATTriumMou,Regular,Black,5.5,,OL,,
ATT-regular-black-height-19-tp-34-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (34),166.0,place,,,,,,,,
ATT-regular-black-height-19-tp-35-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (35),,,,,,,,,,
ATT-regular-black-height-19-tp-37-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 0.0019 and text_place in (37),,,,,,,,,,
ATT-regular-black-height-45-tp-1-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.5 and text_place in (1),,,,,,,,,,
ATT-regular-black-height-48-tp-1,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.8 and text_place in (1),,,,,,,,,,
ATT-regular-black-height-48-tp-2-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.8 and text_place in (2),,,,,,,,,,
ATT-regular-black-height-48-tp-32-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.8 and text_place in (32),,,,,,,,,,
ATT-regular-black-height-48-tp-34-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.8 and text_place in (34),,,,,,,,,,
ATT-regular-black-height-48-tp-35,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.8 and text_place in (35),,,,,,,,,,
ATT-regular-black-height-48-tp-36-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 4.8 and text_place in (36),,,,,,,,,,
ATT-regular-black-height-50-tp-1-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (1),,,,,,,,,,
ATT-regular-black-height-50-tp-2-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (2),,,,,,,,,,
ATT-regular-black-height-50-tp-3-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (3),,,,,,,,,,
ATT-regular-black-height-50-tp-5-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (5),,,,,,,,,,
ATT-regular-black-height-50-tp-31,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (31),,,,,,,,,,
ATT-regular-black-height-50-tp-32-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (32),,,,,,,,,,
ATT-regular-black-height-50-tp-34-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (34),218.0,,,,,,,,,
ATT-regular-black-height-50-tp-35-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (35),,,,,,,,,,
ATT-regular-black-height-50-tp-37-todo,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (37),,,,,,,,,,
ATT-regular-black-height-50-tp-38,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.0 and text_place in (38),,,,,,,,,,
ATT-regular-black-height-55-tp-1,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 1,22.0,road,ATTriumMou,Regular,Black,5.5,-0.5,AL,,
ATT-regular-black-height-55-tp-2,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 2,1875.0,road,ATTriumMou,Regular,Black,5.5,,OL,,
ATT-regular-black-height-55-tp-3,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 3,,,,,,,,,,
ATT-regular-black-height-55-tp-5,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 5,,,,,,,,,,
ATT-regular-black-height-55-tp-31,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 31,,,,,,,,,,
ATT-regular-black-height-55-tp-32,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 32,,,,,,,,,,
ATT-regular-black-height-55-tp-34,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 34,,,,,,,,,,
ATT-regular-black-height-55-tp-35,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 35,,,,,,,,,,
ATT-regular-black-height-55-tp-37,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 5.5 and text_place = 37,,,,,,,,,,
ATT-regular-black-height-75-tp-1,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 75 and text_place = 1,5790.0,trig code,ATTriumMou,Regular,Black,5,-0.5,AL,,
ATT-regular-black-height-75-tp-6,text_font = ATTriumMou-Regular and text_colour = 9 and text_height = 75 and text_place = 6,,,,,,,,,,
