LAYER,SYMBOL,COUNT,FEATURES,FONT,STYLE,COLOUR,SIZE,OFFSET,PLACEMENT,TEXTANCHOR,LABELANCHA
ATT-cond-black-height-19-tp-34-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (34),174.0,,,,,,,,,
ATT-cond-black-height-22-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0022 and text_place = 1,,,,,,,,,,
ATT-cond-black-height-22-tp-35,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0022 and text_place = 35,,,,,,,,,,
ATT-cond-black-height-24-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0024 and text_place = 1,16.0,,,,,,,,,
ATT-cond-black-height-24-tp-4,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0024 and text_place = 4,,,,,,,,,,
ATT-cond-black-height-41-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 4.1 and text_place = 1,,,,,,,,,,
ATT-cond-black-height-41-tp-5,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 4.1 and text_place = 5,,,,,,,,,,
ATT-cond-black-height-67-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 67 and text_place = 1,,,,,,,,,,
ATT-cond-black-height-67-tp-7,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 67 and text_place = 7,,,,,,,,,,
ATT-cond-red-height-14-tp-34-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0014 and text_place = 34,,,,,,,,,,
ATT-cond-red-height-17-tp-1-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0017 and text_place = 1,2.0,warning,ATTriumMou,Condensed,Red,6,-0.6,AL,,
ATT-cond-red-height-17-tp-34-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0017 and text_place in (34),3.0,,,,,,,,,
ATT-cond-red-height-22-tp-1-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0022 and text_place = 1,1.0,,,,,,,,,
ATT-cond-red-height-43-tp-1-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0043 and text_place = 1,8.0,,,,,,,,,
ATT-cond-red-height-51-tp-1-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0051 and text_place = 1,,,,,,,,,,
ATT-cond-red-height-58-tp-1-todo,text_font = ATTriumMou-Cond and text_colour = 5 and text_height = 0.0058 and text_place = 1,1.0,,,,,,,,,
ATT-conditalic-black-height-12-tp-5,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0012 and text_place in (5),8.0,,,,,,,,,
ATT-conditalic-black-height-14-tp-1-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0014 and text_place in (1),82.0,,,,,,,,,
ATT-conditalic-black-height-14-tp-2-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0014 and text_place in (2),,,,,,,,,,
ATT-conditalic-black-height-14-tp-5,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0014 and text_place in (5),,,,,,,,,,
ATT-conditalic-black-height-14-tp-34-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0014 and text_place in (34),,,,,,,,,,
ATT-conditalic-black-height-17-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (1),4594.0,,,,,,,,,
ATT-conditalic-black-height-17-tp-2,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (2),,,,,,,,,,
ATT-conditalic-black-height-17-tp-3,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (3),,,,,,,,,,
