object_name,shp_name,theme,dataset,feature_type,layer_name,type,lds_Name
Landcover,cemetery_poly,Landuse,Land_Layers,cemetery,Landuse,poly,50255-nz-cemetery-polygons-topo-150k
Landcover,golf_course_poly,Landuse,Land_Layers,golf_course,Landuse,poly,50281-nz-golf-course-polygons-topo-150k
Landcover,gravel_pit_poly,Landuse,Land_Layers,gravel_pit,Landuse,poly,50283-nz-gravel-pit-polygons-topo-150k
Landcover,landfill_poly,Landuse,Land_Layers,landfill,Landuse,poly,50294-nz-landfill-polygons-topo-150k
Landcover,mine_poly,Landuse,Land_Layers,mine,Landuse,poly,50301-nz-mine-polygons-topo-150k
Landcover,pumice_pit_poly,Landuse,Land_Layers,pumice_pit,Landuse,poly,50312-nz-pumice-pit-polygons-topo-150k
Landcover,quarry_poly,Landuse,Land_Layers,quarry,Landuse,poly,50314-nz-quarry-polygons-topo-150k
Landcover,racetrack_poly,Landuse,Land_Layers,racetrack,Landuse,poly,50316-nz-racetrack-polygons-topo-150k
Landcover,rifle_range_poly,Landuse,Land_Layers,rifle_range,Landuse,poly,50326-nz-rifle-range-polygons-topo-150k
Landcover,showground_poly,Landuse,Land_Layers,showground,Landuse,poly,50344-nz-showground-polygons-topo-150k
Landcover,sportsfield_poly,Landuse,Land_Layers,sportsfield,Landuse,poly,50355-nz-sportsfield-polygons-topo-150k
Landcover,racetrack_cl,Landuse,Land_Layers,racetrack,Landuse_line,line,50315-nz-racetrack-centrelines-topo-150k
Landcover,cemetery_pnt,Landuse,Land_Layers,cemetery,Place_point,point,50254-nz-cemetery-points-topo-150k
Landcover,grave_pnt,Landuse,Land_Layers,grave,Place_point,point,50282-nz-grave-points-topo-150k
Landcover,historic_site_pnt,Landuse,Land_Layers,historic_site,Place_point,point,50286-nz-historic-site-points-topo-150k
Landcover,mine_pnt,Landuse,Land_Layers,mine,Place_point,point,50300-nz-mine-points-topo-150k
Structure,monument_pnt,Landuse,Land_Layers,monument,Place_point,point,50302-nz-monument-points-topo-150k
Structure,pa_pnt,Landuse,Land_Layers,pa,Place_point,point,50308-nz-pa-points-topo-150k
Structure,radar_dome_pnt,Landuse,Land_Layers,radar_dome,Place_point,point,50317-nz-radar-dome-points-topo-150k
Structure,satellite_station_pnt,Landuse,Land_Layers,satellite_station,Place_point,point,50336-nz-satellite-station-points-topo-150k
Landcover,residential_area_poly,Landuse,Buildings_Layers,residential_area,Residential_area,poly,50325-nz-residential-area-polygons-topo-150k
